journal,SJR
theoretical economics,"3,857"
radiology,"3,856"
journal of urban economics,"3,854"
translational neurodegeneration,"3,850"
communications on pure and applied mathematics,"3,848"
water research,"3,843"
cell discovery,"3,842"
educational research review,"3,839"
the lancet rheumatology,"3,837"
endocrine pathology,"3,832"
med,"3,815"
world politics,"3,810"
strategy science,"3,806"
ieee transactions on automatic control,"3,804"
pharmacology and therapeutics,"3,800"
cell reports,"3,796"
critical reviews in environmental science and technology,"3,788"
arthritis and rheumatology,"3,784"
acs catalysis,"3,782"
advanced science,"3,775"
npj flexible electronics,"3,774"
trends in pharmacological sciences,"3,771"
journal of strategic information systems,"3,765"
aggregate,"3,760"
journal of the american society of nephrology,"3,749"
biogeotechnics,"3,744"
annals of neurology,"3,736"
smartmat,"3,725"
advanced drug delivery reviews,"3,721"
advances in applied energy,"3,721"
astrophysical journal letters,"3,713"
chem catalysis,"3,710"
plant cell,"3,704"
cold spring harbor perspectives in biology,"3,699"
new astronomy reviews,"3,697"
"annual review of control, robotics, and autonomous systems","3,690"
environmental science and technology,"3,690"
ieee transactions on neural networks and learning systems,"3,686"
human resource management,"3,663"
ieee geoscience and remote sensing magazine,"3,662"
journal of management information systems,"3,652"
clinical and molecular hepatology,"3,635"
eclinicalmedicine,"3,633"
journal of manufacturing systems,"3,633"
cancer immunology research,"3,630"
ieee transactions on power systems,"3,629"
allergy,"3,622"
diabetologia,"3,617"
energy and environmental materials,"3,615"
ieee transactions on fuzzy systems,"3,614"
business strategy and the environment,"3,609"
diabetes technology and therapeutics,"3,609"
gut microbes,"3,609"
biometrika,"3,605"
alzheimer's and dementia,"3,600"
information systems journal,"3,599"
journal of product innovation management,"3,598"
ebiomedicine,"3,591"
journal of advanced ceramics,"3,591"
esmo open,"3,582"
eco-environment and health,"3,580"
trends in molecular medicine,"3,577"
international materials reviews,"3,574"
embo molecular medicine,"3,571"
british journal of political science,"3,563"
opto-electronic advances,"3,557"
national health statistics reports,"3,555"
plant communications,"3,552"
jama network open,"3,546"
proceedings of the ieee international conference on computer vision,"3,544"
international journal of plasticity,"3,531"
metabolism,"3,529"
jhep reports,"3,525"
computer assisted language learning,"3,513"
frontiers in ecology and the environment,"3,513"
clinical gastroenterology and hepatology,"3,509"
one earth,"3,509"
journal of business research,"3,499"
psychology and marketing,"3,497"
ieee transactions on evolutionary computation,"3,495"
ieee transactions on communications,"3,492"
acta pharmaceutica sinica b,"3,489"
review of environmental economics and policy,"3,488"
trends in endocrinology and metabolism,"3,485"
isprs journal of photogrammetry and remote sensing,"3,480"
nature computational science,"3,472"
technological forecasting and social change,"3,472"
global strategy journal,"3,471"
earth-science reviews,"3,463"
european journal of information systems,"3,459"
leukemia,"3,458"
journal of integrative plant biology,"3,455"
journal of public administration research and theory,"3,454"
journal of economic theory,"3,443"
research policy,"3,443"
journal of retailing and consumer services,"3,439"
organizational psychology review,"3,434"
journal of politics,"3,428"
international journal of transgender health,"3,422"
european urology oncology,"3,419"
seminars in immunology,"3,417"
ieee transactions on industrial informatics,"3,416"
"journal of cachexia, sarcopenia and muscle","3,416"
energy material advances,"3,415"
proceedings of the national academy of sciences of the united states of america,"3,414"
earth system dynamics,"3,412"
energy reviews,"3,411"
fems microbiology reviews,"3,408"
protection and control of modern power systems,"3,398"
journal of energy chemistry,"3,394"
ecological monographs,"3,383"
international journal of extreme manufacturing,"3,380"
elife,"3,379"
"journal of neurology, neurosurgery and psychiatry","3,379"
annals of internal medicine,"3,378"
european journal of political research,"3,377"
annual review of materials research,"3,376"
redox biology,"3,374"
chinese journal of catalysis,"3,373"
foundations and trends in robotics,"3,370"
npj precision oncology,"3,370"
strategic entrepreneurship journal,"3,370"
theranostics,"3,370"
journal of interactive marketing,"3,366"
production and operations management,"3,364"
drugs,"3,362"
ieee journal of solid-state circuits,"3,362"
journal of the association of environmental and resource economists,"3,361"
journal of cell biology,"3,359"
annual review of biomedical data science,"3,356"
applied mechanics reviews,"3,356"
global environmental change,"3,355"
cardiovascular diabetology,"3,353"
journal of service management,"3,348"
"astrophysical journal, supplement series","3,344"
journal of innovation and knowledge,"3,341"
journal of research in interactive marketing,"3,336"
journal of experimental and clinical cancer research,"3,328"
annals of probability,"3,326"
structural equation modeling,"3,321"
journal of the royal statistical society. series b,"3,308"
technovation,"3,308"
annual review of animal biosciences,"3,307"
geometric and functional analysis,"3,303"
small,"3,301"
immunological reviews,"3,298"
trends in plant science,"3,297"
biomarker research,"3,296"
new phytologist,"3,293"
medical image analysis,"3,289"
acs central science,"3,286"
journal of magnesium and alloys,"3,282"
ieee communications magazine,"3,281"
world bank research observer,"3,281"
computer science review,"3,276"
progress in aerospace sciences,"3,270"
revista espanola de cardiologia,"3,267"
"ieee transactions on systems, man, and cybernetics","3,254"
trends in food science and technology,"3,247"
journal of corporate finance,"3,246"
european journal of epidemiology,"3,241"
international economic review,"3,238"
molecular metabolism,"3,235"
financial management,"3,226"
archive for rational mechanics and analysis,"3,223"
journal of internal medicine,"3,223"
advanced composites and hybrid materials,"3,214"
ai open,"3,212"
journal of hospitality marketing and management,"3,212"
current directions in psychological science,"3,211"
journal of statistical software,"3,211"
academy of management discoveries,"3,207"
journal of financial intermediation,"3,204"
american psychologist,"3,200"
journal of sport and health science,"3,197"
current opinion in plant biology,"3,193"
"qualitative research in sport, exercise and health","3,193"
human reproduction open,"3,190"
npj urban sustainability,"3,185"
journal of neuroinflammation,"3,183"
journal of biomedical science,"3,172"
energy materials and devices,"3,171"
medicinal research reviews,"3,169"
annual review of biomedical engineering,"3,168"
computational visual media,"3,166"
journal of environmental economics and management,"3,165"
microbiology and molecular biology reviews,"3,165"
clinical reviews in allergy and immunology,"3,163"
eurointervention,"3,160"
trends in microbiology,"3,152"
journal of clinical epidemiology,"3,149"
mucosal immunology,"3,148"
environment international,"3,145"
british journal of cancer,"3,144"
cold spring harbor perspectives in medicine,"3,141"
international journal of contemporary hospitality management,"3,141"
international journal of mining science and technology,"3,137"
ilr review,"3,136"
international journal of computer vision,"3,136"
journal of the association for information systems,"3,119"
carbon research,"3,116"
business and society,"3,113"
american journal of clinical dermatology,"3,104"
journal of management inquiry,"3,103"
journal of travel research,"3,100"
"trauma, violence, and abuse","3,093"
experimental hematology and oncology,"3,092"
advances in colloid and interface science,"3,090"
small structures,"3,090"
progress in human geography,"3,087"
ieee transactions on power electronics,"3,083"
optica,"3,080"
review of economic dynamics,"3,080"
journal of hazardous materials,"3,078"
american journal of hematology,"3,076"
neuroscience and biobehavioral reviews,"3,076"
cellular and molecular gastroenterology and hepatology,"3,069"
contemporary accounting research,"3,069"
psychological review,"3,064"
europace,"3,057"
health systems in transition,"3,055"
automatica,"3,054"
journal of family business strategy,"3,053"
current obesity reports,"3,044"
journal of the european mathematical society,"3,043"
journal of prevention of alzheimer's disease,"3,040"
journal of business ethics,"3,039"
annual review of chemical and biomolecular engineering,"3,037"
digital journalism,"3,037"
current opinion in psychology,"3,036"
international journal of oral science,"3,035"
clinical and translational medicine,"3,030"
etransportation,"3,030"
nano materials science,"3,030"
human resource management journal,"3,027"
small business economics,"3,025"
american journal of kidney diseases,"3,024"
political behavior,"3,021"
siam review,"3,021"
computer-aided civil and infrastructure engineering,"3,012"
transport reviews,"3,011"
artificial intelligence review,"3,010"
neurology,"3,008"
ieee transactions on industrial electronics,"3,006"
bmj mental health,"3,005"
european respiratory review,"3,005"
journal of the american academy of child and adolescent psychiatry,"3,005"
obesity reviews,"3,005"
biomaterials,"2,998"
clinical infectious diseases,"2,992"
journal of crohn's and colitis,"2,991"
ecomat,"2,988"
journal of child psychology and psychiatry and allied disciplines,"2,988"
movement disorders,"2,988"
bmj,"2,976"
acta materialia,"2,972"
npj breast cancer,"2,968"
nano letters,"2,967"
acm transactions on graphics,"2,965"
ieee transactions on robotics,"2,965"
public administration review,"2,964"
nano today,"2,962"
composites part b,"2,961"
applied psychology,"2,958"
"vital and health statistics, series 2","2,958"
communications earth and environment,"2,953"
studies in science education,"2,951"
cancer,"2,947"
molecular aspects of medicine,"2,947"
methods in ecology and evolution,"2,945"
seminars in immunopathology,"2,945"
systematic biology,"2,945"
green carbon,"2,944"
jacs au,"2,944"
neuropsychopharmacology,"2,944"
comprehensive reviews in food science and food safety,"2,935"
annals of pde,"2,932"
landscape and urban planning,"2,932"
communications in partial differential equations,"2,926"
computers in human behavior,"2,923"
developmental review,"2,920"
information and management,"2,920"
work and occupations,"2,918"
jci insight,"2,917"
engineering geology,"2,916"
international journal of advertising,"2,914"
npj parkinson's disease,"2,914"
long range planning,"2,909"
current opinion in structural biology,"2,908"
critical reviews in biochemistry and molecular biology,"2,907"
npj climate and atmospheric science,"2,907"
plant biotechnology journal,"2,907"
aging cell,"2,905"
applied physics reviews,"2,904"
interdisciplinary medicine,"2,903"
national science review,"2,903"
applied energy,"2,902"
blood advances,"2,901"
alimentary pharmacology and therapeutics,"2,892"
robotics and computer-integrated manufacturing,"2,892"
automation in construction,"2,890"
proceedings of the annual acm symposium on theory of computing,"2,889"
biochimica et biophysica acta - reviews on cancer,"2,885"
materials horizons,"2,885"
additive manufacturing,"2,877"
cytokine and growth factor reviews,"2,877"
international journal of operations and production management,"2,876"
child development perspectives,"2,875"
"resources, conservation and recycling","2,872"
memoirs of the american mathematical society,"2,870"
sustainable cities and society,"2,869"
journal of materials science and technology,"2,865"
biochar,"2,862"
government information quarterly,"2,861"
organization,"2,861"
physical review letters,"2,856"
work and stress,"2,848"
assessing writing,"2,847"
bmc medicine,"2,846"
autoimmunity reviews,"2,844"
sustainable technology and entrepreneurship,"2,840"
jama dermatology,"2,839"
food hydrocolloids,"2,837"
communications in transportation research,"2,836"
educational researcher,"2,835"
npj computational materials,"2,835"
basic research in cardiology,"2,834"
current environmental health reports,"2,833"
international journal of production economics,"2,833"
journal des mathematiques pures et appliquees,"2,833"
journal of educational psychology,"2,833"
autism in adulthood,"2,832"
trends in chemistry,"2,824"
ieee transactions on intelligent vehicles,"2,821"
earth's future,"2,819"
international journal of nursing studies,"2,819"
innovation and green development,"2,817"
green energy and intelligent transportation,"2,816"
american journal of sociology,"2,811"
journal of democracy,"2,811"
annual review of criminology,"2,800"
journal of structural biology,"2,800"
"new technology, work and employment","2,795"
nous,"2,795"
geometry and topology,"2,794"
journal of vocational behavior,"2,793"
hypertension,"2,788"
materials today catalysis,"2,786"
current opinion in cell biology,"2,780"
annual review of physical chemistry,"2,779"
liver cancer,"2,779"
cell death and disease,"2,773"
american journal of obstetrics and gynecology,"2,772"
innovation materials,"2,772"
environmental science and technology letters,"2,768"
journal of business logistics,"2,768"
annual review of statistics and its application,"2,766"
ieee reviews in biomedical engineering,"2,762"
cancer letters,"2,756"
embo reports,"2,756"
materials reports,"2,756"
west european politics,"2,753"
anaesthesia,"2,751"
international journal of press/politics,"2,748"
milbank quarterly,"2,745"
clinical microbiology and infection,"2,742"
current opinion in immunology,"2,740"
critical care,"2,738"
transportation research part c,"2,734"
journal of sustainable tourism,"2,733"
international journal of hospitality management,"2,731"
npj quantum information,"2,730"
reviews in aquaculture,"2,729"
nano convergence,"2,728"
political science research and methods,"2,724"
probability and mathematical physics,"2,722"
journal of rock mechanics and geotechnical engineering,"2,719"
family business review,"2,718"
international journal of biological sciences,"2,715"
multivariate behavioral research,"2,711"
alzheimer's research and therapy,"2,709"
current biology,"2,707"
"brain, behavior, and immunity","2,704"
journal of stroke,"2,702"
environmental politics,"2,700"
mabs,"2,699"
the lancet regional health - americas,"2,698"
global food security,"2,697"
chemical engineering journal,"2,696"
international journal of epidemiology,"2,695"
energy policy,"2,692"
european journal of cancer,"2,691"
plos biology,"2,691"
british journal of educational technology,"2,690"
angiogenesis,"2,689"
ieee signal processing magazine,"2,685"
genetics in medicine,"2,683"
environmental impact assessment review,"2,681"
opto-electronic science,"2,681"
laser and photonics reviews,"2,679"
econometric theory,"2,674"
persoonia,"2,674"
brain stimulation,"2,666"
investigative radiology,"2,666"
green energy and environment,"2,664"
pharmacological research,"2,664"
statistics surveys,"2,664"
biotechnology advances,"2,662"
cell chemical biology,"2,659"
energy conversion and management,"2,659"
stroke,"2,659"
satellite navigation,"2,658"
acs materials letters,"2,655"
jama health forum,"2,653"
journal of photochemistry and photobiology c,"2,651"
compositio mathematica,"2,649"
reliability engineering and system safety,"2,647"
small methods,"2,638"
mechanical systems and signal processing,"2,636"
probability theory and related fields,"2,631"
ieee transactions on medical imaging,"2,629"
"advances in atomic, molecular and optical physics","2,628"
ccs chemistry,"2,624"
ieee transactions on transportation electrification,"2,622"
industrial marketing management,"2,621"
seminars in cell and developmental biology,"2,620"
international review of sport and exercise psychology,"2,614"
science bulletin,"2,614"
child and adolescent mental health,"2,613"
nature mental health,"2,613"
international journal of stem education,"2,606"
global ecology and biogeography,"2,603"
cancer and metastasis reviews,"2,596"
annals of surgery,"2,593"
american educational research journal,"2,592"
advances in nutrition,"2,591"
ieee transactions on intelligent transportation systems,"2,589"
transportation research part b,"2,589"
acta neuropathologica communications,"2,588"
progress in energy,"2,588"
sustainable production and consumption,"2,588"
polymer reviews,"2,585"
alcohol research,"2,582"
journal of differential geometry,"2,582"
journal of advanced research,"2,576"
environmental health perspectives,"2,572"
foundations and trends in communications and information theory,"2,571"
ieee transactions on knowledge and data engineering,"2,570"
npj 2d materials and applications,"2,565"
annales de l'institut henri poincare analyse non lineaire,"2,562"
technology in society,"2,559"
operations research,"2,557"
progress in neurobiology,"2,552"
economic geography,"2,546"
journal of clinical periodontology,"2,543"
oncoimmunology,"2,542"
ieee transactions on cognitive communications and networking,"2,541"
current opinion in neurobiology,"2,540"
ecography,"2,540"
"gender, work and organization","2,539"
the lancet regional health - western pacific,"2,534"
"arteriosclerosis, thrombosis, and vascular biology","2,532"
journal of communication,"2,532"
energy research and social science,"2,530"
journal of economic surveys,"2,527"
sociological theory,"2,527"
quantum,"2,526"
journal of public policy and marketing,"2,525"
"computers, environment and urban systems","2,523"
journal of health and social behavior,"2,519"
publications of the astronomical society of the pacific,"2,517"
battery energy,"2,516"
ieee network,"2,516"
clinical psychological science,"2,513"
reading research quarterly,"2,513"
transportation research part e,"2,513"
rna,"2,512"
current opinion in solid state and materials science,"2,511"
catalysis reviews - science and engineering,"2,510"
global biogeochemical cycles,"2,509"
agu advances,"2,507"
european heart journal - quality of care and clinical outcomes,"2,507"
acta psychiatrica scandinavica,"2,506"
studies in second language acquisition,"2,506"
annual review of food science and technology,"2,503"
ieee transactions on image processing,"2,502"
psychological science,"2,500"
current opinion in microbiology,"2,495"
cell communication and signaling,"2,494"
social psychological and personality science,"2,494"
molecular cancer therapeutics,"2,493"
annual review of resource economics,"2,492"
economic policy,"2,489"
gastric cancer,"2,489"
oncogene,"2,489"
european child and adolescent psychiatry,"2,488"
ieee internet of things journal,"2,483"
international journal of rock mechanics and mining sciences,"2,481"
